hGEOGRAPHIC_REGION,REGION_COLOR,PROVINCE,DISTRICT,ZONE,YEAR,ECON_SCORE,ENVR_SCORE,FOREST_SCORE,AIR_SCORE,TEMP_SCORE
Mekong River Delta,#00AAAE,An Giang,Tri Ton,total,2018,44.93487698986975,47.92571152918476,84.22575976845152,43.41534008683069,16.13603473227207
Mekong River Delta,#00AAAE,An Giang,Tri Ton,total,2019,45.875542691751086,78.43704775687408,92.76410998552822,66.7149059334298,75.83212735166425
Mekong River Delta,#00AAAE,An Giang,Tri Ton,total,2020,58.90014471780029,46.70525808007717,49.78292329956584,58.929088277858185,31.403762662807523
Mekong River Delta,#00AAAE,An Giang,Tri Ton,total,2021,51.66425470332851,46.32416787264833,6.657018813314037,68.27785817655572,64.03762662807524
Mekong River Delta,#00AAAE,An Giang,Tri Ton,urban,2018,34.47761194029851,48.78606965174129,80.8955223880597,48.8955223880597,16.567164179104477
Mekong River Delta,#00AAAE,An Giang,Tri Ton,urban,2019,53.656716417910445,79.54228855721394,90.74626865671642,71.76119402985074,76.11940298507463
Mekong River Delta,#00AAAE,An Giang,Tri Ton,urban,2020,58.88059701492537,48.78606965174129,50.223880597014926,65.01492537313433,31.119402985074625
Mekong River Delta,#00AAAE,An Giang,Tri Ton,urban,2021,52.68656716417911,63.33830845771144,50.373134328358205,74.4179104477612,65.22388059701493
Mekong River Delta,#00AAAE,An Giang,An Phu,rural,2018,57.46951219512195,21.443089430894307,2.2865853658536586,45.426829268292686,16.615853658536583
Mekong River Delta,#00AAAE,An Giang,An Phu,rural,2019,31.402439024390247,44.75609756097561,1.676829268292683,67.04268292682929,65.54878048780488
Mekong River Delta,#00AAAE,An Giang,An Phu,rural,2020,57.6219512195122,51.19918699186992,50.838414634146346,59.54268292682927,43.21646341463415
Mekong River Delta,#00AAAE,An Giang,An Phu,rural,2021,19.893292682926827,59.5630081300813,52.21036585365854,69.08536585365854,57.39329268292683
Mekong River Delta,#00AAAE,An Giang,An Phu,total,2018,58.03183791606368,26.980221900627107,17.51085383502171,47.00434153400869,16.425470332850942
Mekong River Delta,#00AAAE,An Giang,An Phu,total,2019,44.066570188133134,46.2469850458273,3.183791606367583,69.92764109985528,65.62952243125905
Mekong River Delta,#00AAAE,An Giang,An Phu,total,2020,58.465991316931984,51.62083936324167,49.78292329956584,62.89435600578871,42.18523878437048
Mekong River Delta,#00AAAE,An Giang,An Phu,total,2021,27.496382054992765,59.46936806560541,49.131693198263385,70.44862518089725,58.82778581765557
Mekong River Delta,#00AAAE,An Giang,An Phu,urban,2018,52.6865671641791,35.024875621890544,39.70149253731344,48.20895522388061,17.16417910447761
Mekong River Delta,#00AAAE,An Giang,An Phu,urban,2019,37.91044776119403,49.58706467661691,13.28358208955224,70.32835820895522,65.14925373134328
Mekong River Delta,#00AAAE,An Giang,An Phu,urban,2020,52.014925373134325,52.12935323383084,50.223880597014926,64.29850746268657,41.86567164179104
Mekong River Delta,#00AAAE,An Giang,An Phu,urban,2021,22.761194029850746,60.28358208955223,50.373134328358205,70.77611940298507,59.70149253731344
Northern Midlands and Mountain Areas,#20B254,Bac Kan,Cho Moi,rural,2018,64.78658536585365,25.67581300813008,4.420731707317073,53.323170731707314,19.28353658536585
Northern Midlands and Mountain Areas,#20B254,Bac Kan,Cho Moi,rural,2019,38.109756097560975,70.41158536585365,93.4451219512195,69.08536585365854,48.704268292682926
Northern Midlands and Mountain Areas,#20B254,Bac Kan,Cho Moi,rural,2020,36.96646341463415,42.007113821138205,8.003048780487806,63.59756097560975,54.42073170731707
Northern Midlands and Mountain Areas,#20B254,Bac Kan,Cho Moi,rural,2021,29.72560975609756,66.97662601626016,94.0548780487805,56.4939024390244,50.3810975609756
Northern Midlands and Mountain Areas,#20B254,Bac Kan,Cho Moi,total,2018,53.90738060781476,44.64544138929089,62.08393632416788,52.96671490593343,18.885672937771343
Northern Midlands and Mountain Areas,#20B254,Bac Kan,Cho Moi,total,2019,46.7438494934877,68.73130728412927,92.04052098408104,68.42257597684515,45.73082489146165
Northern Midlands and Mountain Areas,#20B254,Bac Kan,Cho Moi,total,2020,32.77858176555716,55.92860588519054,49.78292329956584,63.154848046309695,54.84804630969609
Northern Midlands and Mountain Areas,#20B254,Bac Kan,Cho Moi,total,2021,38.6396526772793,52.14664737095996,49.131693198263385,56.00578871201158,51.30246020260492
Northern Midlands and Mountain Areas,#20B254,Bac Kan,Cho Moi,urban,2018,44.4776119402985,45.19402985074627,63.28358208955224,52.0,20.298507462686565
Northern Midlands and Mountain Areas,#20B254,Bac Kan,Cho Moi,urban,2019,38.656716417910445,65.1094527363184,83.13432835820895,67.94029850746269,44.25373134328358
Northern Midlands and Mountain Areas,#20B254,Bac Kan,Cho Moi,urban,2020,22.761194029850746,56.4179104477612,50.223880597014926,63.28358208955224,55.74626865671642
Northern Midlands and Mountain Areas,#20B254,Bac Kan,Cho Moi,urban,2021,34.40298507462687,52.76119402985074,50.373134328358205,56.26865671641791,51.64179104477612
Mekong River Delta,#00AAAE,An Giang,Chau Doc,rural,2018,55.64024390243903,44.89329268292683,69.8170731707317,44.054878048780495,20.807926829268293
Mekong River Delta,#00AAAE,An Giang,Chau Doc,rural,2019,65.625,74.89329268292683,89.48170731707317,68.20121951219514,66.9969512195122
Mekong River Delta,#00AAAE,An Giang,Chau Doc,rural,2020,27.28658536585366,65.14735772357723,92.91158536585364,63.8109756097561,38.71951219512195
Mekong River Delta,#00AAAE,An Giang,Chau Doc,rural,2021,24.085365853658537,61.26524390243903,52.21036585365854,69.54268292682926,62.04268292682927
Mekong River Delta,#00AAAE,An Giang,Chau Doc,total,2018,49.855282199710565,46.43994211287988,69.8986975397974,48.0752532561505,21.34587554269175
Mekong River Delta,#00AAAE,An Giang,Chau Doc,total,2019,65.41244573082489,72.8943560057887,83.06801736613603,70.13024602026049,65.4848046309696
Mekong River Delta,#00AAAE,An Giang,Chau Doc,total,2020,33.140376266280754,37.665219488663766,7.597684515195368,65.81765557163531,39.58031837916064
Mekong River Delta,#00AAAE,An Giang,Chau Doc,total,2021,39.14616497829233,59.749155812831646,49.131693198263385,70.85383502170768,59.26193921852388
Mekong River Delta,#00AAAE,An Giang,Chau Doc,urban,2018,43.13432835820896,42.45771144278607,56.865671641791046,48.865671641791046,21.64179104477612
Mekong River Delta,#00AAAE,An Giang,Chau Doc,urban,2019,58.43283582089552,65.1044776119403,59.70149253731343,70.68656716417911,64.92537313432837
Mekong River Delta,#00AAAE,An Giang,Chau Doc,urban,2020,25.59701492537313,52.1044776119403,50.223880597014926,66.53731343283583,39.55223880597015
Mekong River Delta,#00AAAE,An Giang,Chau Doc,urban,2021,34.85074626865672,75.11442786069651,93.2089552238806,72.05970149253733,60.07462686567164
Mekong River Delta,#00AAAE,An Giang,Chau Phu,rural,2018,53.35365853658537,23.27235772357724,3.201219512195122,45.88414634146342,20.731707317073173
Mekong River Delta,#00AAAE,An Giang,Chau Phu,rural,2019,53.20121951219512,49.07520325203252,17.98780487804878,66.58536585365854,62.65243902439025
Mekong River Delta,#00AAAE,An Giang,Chau Phu,rural,2020,22.179878048780488,36.04674796747968,8.003048780487806,59.35975609756098,40.77743902439024
Mekong River Delta,#00AAAE,An Giang,Chau Phu,rural,2021,54.4969512195122,59.9339430894309,52.21036585365854,65.54878048780489,62.04268292682927
Mekong River Delta,#00AAAE,An Giang,Chau Phu,total,2018,49.05933429811866,23.386396526772792,4.052098408104197,45.26772793053546,20.83936324167873
Mekong River Delta,#00AAAE,An Giang,Chau Phu,total,2019,50.21707670043415,47.13458755426917,17.36613603473227,67.67004341534009,56.36758321273516
Mekong River Delta,#00AAAE,An Giang,Chau Phu,total,2020,29.95658465991317,51.172214182344426,49.78292329956584,60.897250361794505,42.836468885672936
Mekong River Delta,#00AAAE,An Giang,Chau Phu,total,2021,40.01447178002894,58.769898697539794,49.131693198263385,67.26483357452966,59.91316931982634
Mekong River Delta,#00AAAE,An Giang,Chau Phu,urban,2018,46.04477611940299,24.771144278606968,6.865671641791045,46.02985074626866,21.417910447761194
Mekong River Delta,#00AAAE,An Giang,Chau Phu,urban,2019,42.08955223880597,47.27363184079602,16.716417910447763,69.43283582089552,55.67164179104478
Mekong River Delta,#00AAAE,An Giang,Chau Phu,urban,2020,24.776119402985078,52.12935323383085,50.223880597014926,63.25373134328358,42.91044776119404
Mekong River Delta,#00AAAE,An Giang,Chau Phu,urban,2021,30.8955223880597,59.86069651741293,50.373134328358205,68.83582089552239,60.373134328358205
South East,#A5CD39,Tay Ninh,Chau Thanh,rural,2018,43.44512195121951,44.141260162601625,64.78658536585365,46.82926829268293,20.807926829268293
South East,#A5CD39,Tay Ninh,Chau Thanh,rural,2019,27.89634146341464,64.8119918699187,75.15243902439023,65.70121951219514,53.58231707317073
South East,#A5CD39,Tay Ninh,Chau Thanh,rural,2020,41.920731707317074,52.36280487804878,50.838414634146346,58.9939024390244,47.25609756097561
South East,#A5CD39,Tay Ninh,Chau Thanh,rural,2021,23.018292682926827,58.38922764227642,52.21036585365854,64.42073170731707,58.53658536585365
South East,#A5CD39,Tay Ninh,Chau Thanh,total,2018,42.40231548480463,42.54703328509406,61.21562952243126,45.73082489146165,20.69464544138929
South East,#A5CD39,Tay Ninh,Chau Thanh,total,2019,47.03328509406657,62.24794983116257,71.49059334298119,66.19392185238785,49.05933429811867
South East,#A5CD39,Tay Ninh,Chau Thanh,total,2020,58.17655571635312,52.94741919922817,49.78292329956584,59.71056439942113,49.34876989869754
South East,#A5CD39,Tay Ninh,Chau Thanh,total,2021,29.81186685962373,57.2455378678244,49.131693198263385,64.42836468885673,58.17655571635311
South East,#A5CD39,Tay Ninh,Chau Thanh,urban,2018,38.28358208955224,36.33333333333333,41.34328358208956,45.492537313432834,22.16417910447761
South East,#A5CD39,Tay Ninh,Chau Thanh,urban,2019,44.1044776119403,54.70646766169155,49.70149253731344,67.70149253731344,46.71641791044776
South East,#A5CD39,Tay Ninh,Chau Thanh,urban,2020,55.07462686567164,53.940298507462686,50.223880597014926,61.5223880597015,50.07462686567165
South East,#A5CD39,Tay Ninh,Chau Thanh,urban,2021,28.134328358208958,57.72139303482587,50.373134328358205,65.1044776119403,57.68656716417911
Mekong River Delta,#00AAAE,An Giang,Long Xuyen,rural,2018,68.4451219512195,55.65548780487805,92.3780487804878,53.93292682926829,20.65548780487805
Mekong River Delta,#00AAAE,An Giang,Long Xuyen,rural,2019,50.76219512195122,48.328252032520325,27.59146341463415,67.92682926829269,49.46646341463415
Mekong River Delta,#00AAAE,An Giang,Long Xuyen,rural,2020,38.795731707317074,41.6209349593496,8.003048780487806,65.33536585365854,51.524390243902445
Mekong River Delta,#00AAAE,An Giang,Long Xuyen,rural,2021,23.78048780487805,67.75914634146342,94.0548780487805,57.16463414634147,52.05792682926829
Mekong River Delta,#00AAAE,An Giang,Long Xuyen,total,2018,47.32272069464544,50.689821514712975,73.9507959479016,56.12156295224312,21.99710564399421
Mekong River Delta,#00AAAE,An Giang,Long Xuyen,total,2019,58.97250361794501,44.19681620839363,16.35311143270622,70.21707670043415,46.02026049204052
Mekong River Delta,#00AAAE,An Giang,Long Xuyen,total,2020,35.383502170767,55.62469850458272,49.78292329956584,66.07814761215629,51.01302460202605
Mekong River Delta,#00AAAE,An Giang,Long Xuyen,total,2021,43.56005788712012,38.33092136999518,6.657018813314037,55.80318379160637,52.53256150506513
Mekong River Delta,#00AAAE,An Giang,Long Xuyen,urban,2018,39.62686567164179,40.691542288557216,42.08955223880597,56.92537313432836,23.059701492537314
Mekong River Delta,#00AAAE,An Giang,Long Xuyen,urban,2019,50.97014925373134,43.18905472636817,14.17910447761194,70.68656716417912,44.70149253731344
Mekong River Delta,#00AAAE,An Giang,Long Xuyen,urban,2020,25.07462686567164,56.308457711442784,50.223880597014926,66.98507462686568,51.71641791044776
Mekong River Delta,#00AAAE,An Giang,Long Xuyen,urban,2021,38.73134328358209,53.33830845771144,50.373134328358205,56.50746268656717,53.13432835820896
Mekong River Delta,#00AAAE,An Giang,Phu Tan,rural,2018,57.774390243902445,23.58739837398373,3.048780487804878,48.04878048780488,19.664634146341463
Mekong River Delta,#00AAAE,An Giang,Phu Tan,rural,2019,43.52134146341463,43.328252032520325,4.420731707317073,69.08536585365854,56.47865853658536
Mekong River Delta,#00AAAE,An Giang,Phu Tan,rural,2020,23.170731707317078,54.8678861788618,50.838414634146346,61.707317073170735,52.0579268292683
Mekong River Delta,#00AAAE,An Giang,Phu Tan,rural,2021,23.170731707317078,58.8719512195122,52.21036585365854,68.07926829268293,56.32621951219512
Mekong River Delta,#00AAAE,An Giang,Phu Tan,total,2018,52.74963820549928,23.11625663289918,2.315484804630969,47.35166425470333,19.68162083936324
Mekong River Delta,#00AAAE,An Giang,Phu Tan,total,2019,43.198263386396526,43.39604438012542,6.801736613603474,69.98552821997107,53.40086830680173
Mekong River Delta,#00AAAE,An Giang,Phu Tan,total,2020,26.26628075253256,54.84322238301978,49.78292329956584,63.44428364688858,51.30246020260492
Mekong River Delta,#00AAAE,An Giang,Phu Tan,total,2021,32.77858176555716,57.92088760250844,49.131693198263385,67.9015918958032,56.72937771345876
Mekong River Delta,#00AAAE,An Giang,Phu Tan,urban,2018,46.492537313432834,23.402985074626866,2.5373134328358207,47.223880597014926,20.44776119402985
Mekong River Delta,#00AAAE,An Giang,Phu Tan,urban,2019,34.17910447761194,43.79601990049751,9.25373134328358,70.5671641791045,51.56716417910447
Mekong River Delta,#00AAAE,An Giang,Phu Tan,urban,2020,18.88059701492537,55.56218905472637,50.223880597014926,65.04477611940298,51.4179104477612
Mekong River Delta,#00AAAE,An Giang,Phu Tan,urban,2021,29.776119402985078,58.33830845771144,50.373134328358205,67.85074626865672,56.791044776119406
Mekong River Delta,#00AAAE,An Giang,Tinh Bien,rural,2018,60.28963414634147,50.4369918699187,89.9390243902439,45.0609756097561,16.3109756097561
Mekong River Delta,#00AAAE,An Giang,Tinh Bien,rural,2019,47.713414634146346,75.16768292682926,80.9451219512195,69.17682926829269,75.3810975609756
Mekong River Delta,#00AAAE,An Giang,Tinh Bien,rural,2020,52.97256097560975,48.35873983739837,50.838414634146346,61.00609756097561,33.23170731707317
Mekong River Delta,#00AAAE,An Giang,Tinh Bien,rural,2021,42.454268292682926,61.96138211382113,52.21036585365854,67.74390243902438,65.9298780487805
Mekong River Delta,#00AAAE,An Giang,Tinh Bien,total,2018,55.57163531114327,51.017848528702366,90.01447178002894,45.09406657018813,17.945007235890014
Mekong River Delta,#00AAAE,An Giang,Tinh Bien,total,2019,57.09117221418234,77.40472744814278,88.42257597684515,68.82778581765557,74.96382054992765
Mekong River Delta,#00AAAE,An Giang,Tinh Bien,total,2020,50.28943560057887,47.68451519536902,49.78292329956584,61.215629522431264,32.05499276410998
Mekong River Delta,#00AAAE,An Giang,Tinh Bien,total,2021,43.849493487698986,74.92522913651712,92.54703328509407,68.19102749638206,64.03762662807526
Mekong River Delta,#00AAAE,An Giang,Tinh Bien,urban,2018,51.19402985074627,50.42786069651741,84.92537313432837,47.40298507462687,18.95522388059701
Mekong River Delta,#00AAAE,An Giang,Tinh Bien,urban,2019,55.07462686567164,78.80597014925372,90.44776119402984,70.44776119402985,75.52238805970148
Mekong River Delta,#00AAAE,An Giang,Tinh Bien,urban,2020,45.8955223880597,48.55721393034827,50.223880597014926,63.880597014925385,31.56716417910448
Mekong River Delta,#00AAAE,An Giang,Tinh Bien,urban,2021,41.19402985074628,61.71641791044775,50.373134328358205,70.14925373134328,64.6268656716418
South East,#A5CD39,Tay Ninh,Tan Chau,rural,2018,58.38414634146341,34.83231707317073,36.43292682926829,49.69512195121952,18.36890243902439
South East,#A5CD39,Tay Ninh,Tan Chau,rural,2019,39.10060975609756,73.11483739837398,90.09146341463416,69.8780487804878,59.375
South East,#A5CD39,Tay Ninh,Tan Chau,rural,2020,39.78658536585366,55.02032520325203,50.838414634146346,62.6219512195122,51.60060975609756
South East,#A5CD39,Tay Ninh,Tan Chau,rural,2021,32.85060975609756,59.954268292682926,52.21036585365854,71.40243902439025,56.25
South East,#A5CD39,Tay Ninh,Tan Chau,total,2018,52.0260492040521,40.20260492040521,52.96671490593343,49.84081041968162,17.80028943560058
South East,#A5CD39,Tay Ninh,Tan Chau,total,2019,55.13748191027496,59.32465026531597,49.92764109985528,70.44862518089725,57.59768451519537
South East,#A5CD39,Tay Ninh,Tan Chau,total,2020,46.52677279305355,68.7409551374819,92.2575976845152,62.37337192474675,51.5918958031838
South East,#A5CD39,Tay Ninh,Tan Chau,total,2021,43.41534008683068,58.76507477086348,49.131693198263385,70.65123010130246,56.5123010130246
South East,#A5CD39,Tay Ninh,Tan Chau,urban,2018,46.11940298507463,38.273631840796014,44.776119402985074,51.3134328358209,18.73134328358209
South East,#A5CD39,Tay Ninh,Tan Chau,urban,2019,49.17910447761194,47.79601990049751,15.82089552238806,70.92537313432837,56.64179104477612
South East,#A5CD39,Tay Ninh,Tan Chau,urban,2020,38.95522388059702,69.82587064676616,93.88059701492536,63.88059701492537,51.71641791044776
South East,#A5CD39,Tay Ninh,Tan Chau,urban,2021,39.85074626865672,59.70646766169154,50.373134328358205,71.13432835820896,57.61194029850746
South East,#A5CD39,Binh Phuoc,Phu Rieng,rural,2018,30.64024390243903,30.50304878048781,40.39634146341464,44.9390243902439,6.173780487804878
South East,#A5CD39,Binh Phuoc,Phu Rieng,rural,2019,40.625,56.4329268292683,10.21341463414634,65.03048780487805,94.0548780487805
South East,#A5CD39,Binh Phuoc,Phu Rieng,rural,2020,47.713414634146346,53.89735772357723,50.838414634146346,47.4390243902439,63.41463414634147
South East,#A5CD39,Binh Phuoc,Phu Rieng,rural,2021,52.28658536585367,63.6229674796748,52.21036585365854,63.65853658536585,75.0
South East,#A5CD39,Binh Phuoc,Phu Rieng,total,2018,28.147612156295224,30.453449107573565,37.62662807525325,45.70188133140376,8.031837916063676
South East,#A5CD39,Binh Phuoc,Phu Rieng,total,2019,49.71056439942113,55.80800771828268,9.696092619392186,64.45730824891461,93.27062228654124
South East,#A5CD39,Binh Phuoc,Phu Rieng,total,2020,42.18523878437048,40.07718282682103,7.597684515195368,48.01736613603474,64.616497829233
South East,#A5CD39,Binh Phuoc,Phu Rieng,total,2021,53.54558610709117,62.68210323203088,49.131693198263385,64.16787264833575,74.7467438494935
South East,#A5CD39,Binh Phuoc,Phu Rieng,urban,2018,29.179104477611936,23.691542288557216,13.432835820895525,48.98507462686568,8.656716417910447
South East,#A5CD39,Binh Phuoc,Phu Rieng,urban,2019,61.19402985074627,56.0,7.164179104477612,68.59701492537314,92.23880597014926
South East,#A5CD39,Binh Phuoc,Phu Rieng,urban,2020,46.492537313432834,55.33830845771144,50.223880597014926,51.01492537313433,64.77611940298507
South East,#A5CD39,Binh Phuoc,Phu Rieng,urban,2021,58.88059701492537,50.28358208955224,7.238805970149253,68.98507462686567,74.6268656716418
South East,#A5CD39,Binh Phuoc,Phuoc Long,rural,2018,57.545731707317074,33.511178861788615,37.34756097560975,58.84146341463414,4.344512195121951
South East,#A5CD39,Binh Phuoc,Phuoc Long,rural,2019,75.07621951219511,61.3160569105691,17.22560975609756,70.76219512195122,95.96036585365854
South East,#A5CD39,Binh Phuoc,Phuoc Long,rural,2020,52.4390243902439,57.28150406504065,50.838414634146346,58.963414634146346,62.04268292682927
South East,#A5CD39,Binh Phuoc,Phuoc Long,rural,2021,45.579268292682926,69.4410569105691,52.21036585365854,75.39634146341464,80.71646341463415
South East,#A5CD39,Binh Phuoc,Phuoc Long,total,2018,61.21562952243126,31.741437530149533,32.56150506512301,58.46599131693198,4.196816208393633
South East,#A5CD39,Binh Phuoc,Phuoc Long,total,2019,80.68017366136036,61.186685962373375,17.221418234442837,70.39073806078149,95.9479015918958
South East,#A5CD39,Binh Phuoc,Phuoc Long,total,2020,43.198263386396526,59.175108538350216,49.78292329956584,65.00723589001448,62.73516642547034
South East,#A5CD39,Binh Phuoc,Phuoc Long,total,2021,44.2836468885673,68.59623733719246,49.131693198263385,76.26628075253257,80.39073806078147
South East,#A5CD39,Binh Phuoc,Phuoc Long,urban,2018,58.28358208955224,27.343283582089548,17.91044776119403,59.64179104477613,4.477611940298508
South East,#A5CD39,Binh Phuoc,Phuoc Long,urban,2019,79.1044776119403,61.5223880597015,16.417910447761194,72.17910447761194,95.97014925373136
South East,#A5CD39,Binh Phuoc,Phuoc Long,urban,2020,44.25373134328358,57.636815920398,50.223880597014926,59.99999999999999,62.6865671641791
South East,#A5CD39,Binh Phuoc,Phuoc Long,urban,2021,43.13432835820896,55.18407960199005,7.238805970149253,77.7910447761194,80.52238805970148
South East,#A5CD39,Binh Phuoc,Binh Long,rural,2018,60.51829268292683,25.543699186991876,21.79878048780488,47.89634146341464,6.935975609756097
South East,#A5CD39,Binh Phuoc,Binh Long,rural,2019,55.94512195121952,53.57723577235773,17.073170731707318,63.47560975609757,80.1829268292683
South East,#A5CD39,Binh Phuoc,Binh Long,rural,2020,58.15548780487805,53.9380081300813,50.838414634146346,44.81707317073171,66.15853658536585
South East,#A5CD39,Binh Phuoc,Binh Long,rural,2021,47.78963414634146,76.02642276422763,94.0548780487805,61.92073170731707,72.10365853658536
South East,#A5CD39,Binh Phuoc,Binh Long,total,2018,48.33574529667148,29.62373371924747,27.930535455861072,53.63241678726484,7.308248914616499
South East,#A5CD39,Binh Phuoc,Binh Long,total,2019,63.60347322720695,56.459237819585134,21.852387843704776,66.91751085383503,80.60781476121562
South East,#A5CD39,Binh Phuoc,Binh Long,total,2020,51.5918958031838,70.2653159671973,92.2575976845152,52.04052098408105,66.49782923299566
South East,#A5CD39,Binh Phuoc,Binh Long,total,2021,54.558610709117225,62.79305354558611,49.131693198263385,67.32272069464544,71.9247467438495
South East,#A5CD39,Binh Phuoc,Binh Long,urban,2018,41.492537313432834,29.13432835820895,24.47761194029851,55.61194029850746,7.313432835820896
South East,#A5CD39,Binh Phuoc,Binh Long,urban,2019,59.55223880597015,58.1044776119403,26.417910447761194,67.67164179104478,80.22388059701493
South East,#A5CD39,Binh Phuoc,Binh Long,urban,2020,56.04477611940299,55.83084577114427,50.223880597014926,50.776119402985074,66.49253731343283
South East,#A5CD39,Binh Phuoc,Binh Long,urban,2021,53.88059701492537,63.58706467661691,50.373134328358205,67.85074626865672,72.53731343283582
South East,#A5CD39,Binh Phuoc,Bu Dop,rural,2018,57.85060975609757,34.197154471544714,45.579268292682926,53.04878048780488,3.963414634146341
South East,#A5CD39,Binh Phuoc,Bu Dop,rural,2019,73.9329268292683,61.66666666666666,38.41463414634146,57.713414634146346,88.8719512195122
South East,#A5CD39,Binh Phuoc,Bu Dop,rural,2020,84.83231707317073,42.9979674796748,8.003048780487806,57.04268292682927,63.94817073170732
South East,#A5CD39,Binh Phuoc,Bu Dop,rural,2021,40.32012195121951,52.44918699186992,8.231707317073171,68.32317073170732,80.79268292682929
South East,#A5CD39,Binh Phuoc,Bu Dop,total,2018,63.0246020260492,34.486251808972504,47.178002894356005,52.5904486251809,3.690303907380608
South East,#A5CD39,Binh Phuoc,Bu Dop,total,2019,76.62807525325616,62.73516642547034,40.2315484804631,56.00578871201158,91.96816208393632
South East,#A5CD39,Binh Phuoc,Bu Dop,total,2020,79.45007235890014,43.81090207428847,7.597684515195368,59.65267727930536,64.18234442836469
South East,#A5CD39,Binh Phuoc,Bu Dop,total,2021,39.36324167872648,80.43415340086831,92.54703328509407,68.65412445730826,80.1013024602026
South East,#A5CD39,Binh Phuoc,Bu Dop,urban,2018,63.35820895522387,36.16417910447761,48.35820895522388,56.32835820895523,3.805970149253731
South East,#A5CD39,Binh Phuoc,Bu Dop,urban,2019,77.98507462686567,64.00497512437812,44.17910447761194,55.37313432835822,92.46268656716418
South East,#A5CD39,Binh Phuoc,Bu Dop,urban,2020,72.01492537313433,58.22885572139303,50.223880597014926,60.50746268656717,63.95522388059702
South East,#A5CD39,Binh Phuoc,Bu Dop,urban,2021,39.1044776119403,81.78109452736318,93.2089552238806,71.61194029850746,80.5223880597015
South East,#A5CD39,Binh Phuoc,Bu Dang,rural,2018,34.67987804878049,40.137195121951216,62.65243902439024,54.176829268292686,3.5823170731707314
South East,#A5CD39,Binh Phuoc,Bu Dang,rural,2019,25.53353658536585,64.71544715447153,33.079268292682926,67.77439024390245,93.29268292682926
South East,#A5CD39,Binh Phuoc,Bu Dang,rural,2020,36.4329268292683,42.19512195121951,8.003048780487806,59.054878048780495,59.52743902439025
South East,#A5CD39,Binh Phuoc,Bu Dang,rural,2021,35.823170731707314,53.03861788617886,8.231707317073171,73.14024390243902,77.7439024390244
South East,#A5CD39,Binh Phuoc,Bu Dang,total,2018,31.18668596237337,40.149541726965744,62.66280752532561,53.66136034732272,4.124457308248914
South East,#A5CD39,Binh Phuoc,Bu Dang,total,2019,26.555716353111432,63.27062228654125,31.25904486251809,66.80173661360348,91.75108538350216
South East,#A5CD39,Binh Phuoc,Bu Dang,total,2020,48.84225759768451,71.57742402315483,92.2575976845152,60.463096960926194,62.01157742402316
South East,#A5CD39,Binh Phuoc,Bu Dang,total,2021,35.383502170767,65.6488181379643,49.131693198263385,72.85094066570188,74.96382054992765
South East,#A5CD39,Binh Phuoc,Bu Dang,urban,2018,34.62686567164179,31.72139303482587,37.16417910447761,53.5223880597015,4.477611940298507
